                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3511,                 4.3457,                 1.2634,                0.10533,                0.44828,                0.08688,                0.05482,                 1.2553,                 15.333,                 1.0681,                0.00024,                0.00024,                0.00024
                      2,                 1.2595,                  1.516,                 1.0842,                0.78951,                 0.5821,                0.60416,                0.35219,                 1.1672,                 1.5401,                 1.0266,              0.0004901,              0.0004901,              0.0004901
                      3,                 1.2234,                 1.2499,                  1.071,                0.72599,                0.60345,                0.58666,                0.31674,                 1.2254,                 2.2063,                 1.2139,              0.0007299,              0.0007299,              0.0007299
                      4,                 1.2672,                 1.0949,                 1.1158,                0.57892,                0.65517,                0.56488,                0.30267,                 1.2946,                 7.2326,                 1.2482,             0.00095941,             0.00095941,             0.00095941
                      5,                 1.4084,                 1.1055,                 1.1979,                0.44112,                0.46552,                0.42103,                0.22996,                 1.5058,                 11.826,                 1.3161,              0.0011786,              0.0011786,              0.0011786
                      6,                 1.3793,                0.98014,                 1.1665,                0.55659,                0.51724,                0.48325,                0.24363,                 1.6742,                 10.389,                 1.5753,              0.0013875,              0.0013875,              0.0013875
                      7,                 1.3241,                0.97329,                 1.1585,                0.61871,                0.51724,                0.51048,                0.27447,                 1.5628,                 2.9538,                 1.3816,              0.0015862,              0.0015862,              0.0015862
                      8,                 1.3696,                 1.0412,                 1.2127,                0.63662,                0.39276,                0.37566,                0.22405,                 1.6366,                 4.1831,                 1.5134,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.2743,                0.96846,                 1.1256,                0.57342,                 0.2931,                0.28359,                0.17523,                 1.4463,                 8.1902,                 1.3589,              0.0017228,              0.0017228,              0.0017228
                     10,                  1.319,                0.94888,                  1.123,                0.75694,                0.53448,                0.62672,                0.38371,                 1.3375,                 1.3164,                 1.2514,              0.0016832,              0.0016832,              0.0016832
                     11,                 1.2325,                0.79639,                  1.097,                0.65996,                0.53448,                0.57577,                 0.3067,                 1.5348,                  1.495,                 1.3756,              0.0016436,              0.0016436,              0.0016436
                     12,                 1.2662,                0.87806,                 1.1466,                0.63107,                0.67838,                0.71867,                0.39922,                 1.2861,                0.97487,                  1.222,               0.001604,               0.001604,               0.001604
                     13,                 1.3007,                0.85637,                 1.0921,                0.86047,                0.63795,                0.68793,                0.39722,                 1.4292,                0.93161,                 1.2602,              0.0015644,              0.0015644,              0.0015644
                     14,                 1.2918,                0.84825,                  1.123,                0.83479,                0.56897,                0.66503,                0.31685,                 1.5836,                0.99145,                 1.3834,              0.0015248,              0.0015248,              0.0015248
                     15,                  1.188,                0.83078,                 1.0804,                0.86591,                0.66809,                0.72597,                0.39563,                 1.3067,                0.94941,                 1.1981,              0.0014852,              0.0014852,              0.0014852
                     16,                  1.257,                0.79679,                 1.0793,                0.70939,                0.75758,                0.75596,                0.41045,                 1.3643,                0.89955,                 1.1904,              0.0014456,              0.0014456,              0.0014456
                     17,                 1.1773,                0.77076,                 1.1093,                0.95189,                0.56897,                0.73979,                0.41816,                 1.3807,                0.97605,                 1.2544,               0.001406,               0.001406,               0.001406
                     18,                 1.1534,                0.76021,                  1.091,                0.79427,                0.73227,                0.79767,                0.46907,                 1.2796,                0.73132,                 1.2249,              0.0013664,              0.0013664,              0.0013664
                     19,                 1.1366,                0.75217,                 1.0781,                 0.8431,                0.68966,                0.75847,                0.45506,                 1.2511,                0.70388,                 1.2101,              0.0013268,              0.0013268,              0.0013268
                     20,                 1.1288,                0.69778,                 1.0581,                0.89192,                0.63793,                0.72701,                0.46227,                 1.1932,                0.82443,                 1.1673,              0.0012872,              0.0012872,              0.0012872
                     21,                 1.0745,                0.68068,                  1.051,                0.77007,                0.75075,                0.77134,                0.45324,                 1.1535,                0.85247,                 1.1292,              0.0012476,              0.0012476,              0.0012476
                     22,                 1.0271,                0.64611,                 1.0479,                 0.7642,                 0.7069,                0.73176,                0.45286,                 1.1869,                0.87649,                 1.1191,               0.001208,               0.001208,               0.001208
                     23,                 1.0667,                0.67271,                 1.0563,                0.85117,                0.67241,                 0.7548,                0.45962,                 1.3026,                0.85009,                 1.1759,              0.0011684,              0.0011684,              0.0011684
                     24,                 1.0376,                0.62116,                 1.0288,                0.95808,                0.74138,                0.84274,                0.51503,                 1.2104,                0.73507,                 1.1909,              0.0011288,              0.0011288,              0.0011288
                     25,                 1.0894,                  0.683,                 1.0522,                0.82203,                0.75862,                0.79642,                 0.4727,                 1.2238,                0.71784,                 1.1746,              0.0010892,              0.0010892,              0.0010892
                     26,                0.98245,                0.65929,                 1.0467,                0.89746,                0.77586,                0.80931,                0.48445,                 1.1931,                 0.6424,                 1.1107,              0.0010496,              0.0010496,              0.0010496
                     27,                 1.0199,                0.67387,                 1.0069,                0.97179,                0.63793,                0.79626,                0.49884,                 1.2343,                0.60515,                 1.1548,                0.00101,                0.00101,                0.00101
                     28,                0.99734,                0.64732,                 1.0349,                0.90488,                0.82017,                0.83603,                0.51075,                  1.176,                0.64693,                 1.1432,              0.0009704,              0.0009704,              0.0009704
                     29,                0.99213,                0.60897,                 1.0325,                0.91484,                 0.7069,                0.82375,                0.51092,                 1.0652,                0.62605,                 1.0712,              0.0009308,              0.0009308,              0.0009308
                     30,                0.97797,                0.60025,                 1.0185,                0.87881,                0.75024,                0.80564,                0.52149,                 1.1105,                0.67933,                 1.0921,              0.0008912,              0.0008912,              0.0008912
                     31,                0.91427,                0.61247,                 1.0125,                0.85241,                0.69714,                0.78443,                0.52368,                 1.0505,                0.64028,                 1.0749,              0.0008516,              0.0008516,              0.0008516
                     32,                0.99779,                0.58886,                0.99111,                  0.931,                 0.7069,                0.83481,                0.51694,                 1.1715,                0.59016,                 1.0991,               0.000812,               0.000812,               0.000812
                     33,                0.96726,                0.60689,                 1.0539,                0.83188,                0.75862,                0.83266,                0.53688,                 1.0763,                0.59784,                 1.0461,              0.0007724,              0.0007724,              0.0007724
                     34,                0.92761,                0.55543,                0.99284,                0.84369,                0.74454,                 0.8337,                0.52785,                 1.0986,                0.60814,                 1.0665,              0.0007328,              0.0007328,              0.0007328
                     35,                0.90096,                0.56057,                0.96889,                0.90814,                0.68192,                0.78715,                0.52278,                 1.0658,                0.57755,                 1.1118,              0.0006932,              0.0006932,              0.0006932
                     36,                0.91561,                0.55221,                0.97575,                0.94611,                 0.7069,                0.83351,                 0.5571,                 1.0875,                0.57678,                 1.0935,              0.0006536,              0.0006536,              0.0006536
                     37,                0.83964,                0.50672,                0.95321,                0.91538,                0.77586,                0.86081,                0.55177,                 1.1099,                 0.5629,                 1.0972,               0.000614,               0.000614,               0.000614
                     38,                0.90762,                0.55935,                0.97839,                0.92816,                0.77586,                0.86793,                0.57326,                  1.068,                0.55882,                  1.065,              0.0005744,              0.0005744,              0.0005744
                     39,                0.89708,                0.53284,                0.95884,                0.92609,                0.81034,                0.87789,                0.56657,                 1.0609,                0.53836,                 1.0813,              0.0005348,              0.0005348,              0.0005348
                     40,                0.84818,                0.51252,                0.96368,                0.87244,                0.82549,                0.87081,                0.54947,                  1.074,                0.57549,                 1.0788,              0.0004952,              0.0004952,              0.0004952
                     41,                0.87725,                0.52161,                0.95849,                0.94095,                 0.7931,                0.86447,                0.55401,                 1.0516,                0.56876,                  1.061,              0.0004556,              0.0004556,              0.0004556
                     42,                0.80186,                0.48254,                0.96619,                0.95781,                0.78296,                0.86972,                0.56433,                 1.1064,                0.56485,                 1.1038,               0.000416,               0.000416,               0.000416
                     43,                  0.785,                0.45691,                0.93451,                0.96884,                0.77586,                0.87205,                  0.588,                 1.0332,                0.51751,                 1.0535,              0.0003764,              0.0003764,              0.0003764
                     44,                0.75784,                0.45655,                0.93326,                0.94499,                0.81034,                 0.8671,                0.57262,                 1.0777,                0.51373,                 1.0486,              0.0003368,              0.0003368,              0.0003368
                     45,                0.77809,                0.44249,                0.95257,                0.92557,                0.81034,                0.86793,                0.57142,                 1.0537,                0.49834,                 1.0433,              0.0002972,              0.0002972,              0.0002972
                     46,                0.74508,                0.44051,                0.93538,                0.88668,                0.84483,                0.88366,                0.57639,                 1.0405,                0.49138,                  1.042,              0.0002576,              0.0002576,              0.0002576
                     47,                0.71912,                0.42523,                0.90003,                0.88801,                0.82759,                0.86942,                0.59667,                 1.0342,                 0.4988,                 1.0433,               0.000218,               0.000218,               0.000218
                     48,                0.73603,                0.42067,                0.92495,                0.90332,                0.80552,                0.86688,                0.60426,                  1.032,                0.47789,                 1.0719,              0.0001784,              0.0001784,              0.0001784
                     49,                0.71104,                 0.4188,                0.91343,                0.90297,                0.80237,                0.86817,                0.59674,                 1.0368,                0.48259,                 1.0804,              0.0001388,              0.0001388,              0.0001388
                     50,                0.67604,                0.39013,                0.89134,                0.89073,                0.82759,                0.86197,                0.59363,                 1.0624,                0.49688,                 1.0911,               9.92e-05,               9.92e-05,               9.92e-05
